item,ad_page,ad_order,ad_code,assessment,ad_url,ad_last_updated,old_text,new_text,datetime
1,1,1,CA0068,Recently Updated,N/A,11/11/2022 21:23:36,N/A,N/A,11/11/2022 21:54:10
2,1,2,CA0067,Recently Updated,N/A,11/11/2022 21:23:42,N/A,N/A,11/11/2022 21:54:10
3,1,3,AP0290,Recently Updated,N/A,11/11/2022 21:23:49,N/A,N/A,11/11/2022 21:54:10
4,1,4,AP0289,Recently Updated,N/A,11/11/2022 20:14:54,N/A,N/A,11/11/2022 21:54:10
5,1,5,AP0288,Recently Updated,N/A,11/11/2022 20:15:02,N/A,N/A,11/11/2022 21:54:10
6,1,6,CA0066,Recently Updated,N/A,11/11/2022 21:23:56,N/A,N/A,11/11/2022 21:54:10
7,1,7,CA0065,Recently Updated,N/A,11/11/2022 20:22:35,N/A,N/A,11/11/2022 21:54:10
8,1,8,AL0005,Recently Updated,N/A,11/11/2022 20:22:45,N/A,N/A,11/11/2022 21:54:10
9,1,9,AP0287,Recently Updated,N/A,11/11/2022 20:01:15,N/A,N/A,11/11/2022 21:54:10
10,1,10,CA0064,Recently Updated,N/A,11/11/2022 21:26:41,N/A,N/A,11/11/2022 21:54:10
11,2,1,CA0063,Recently Updated,N/A,11/11/2022 20:02:08,N/A,N/A,11/11/2022 21:54:16
12,2,2,CO0028,Recently Updated,N/A,11/11/2022 20:23:06,N/A,N/A,11/11/2022 21:54:16
13,2,3,SA0005,Recently Updated,N/A,11/11/2022 20:23:16,N/A,N/A,11/11/2022 21:54:16
14,2,4,AP0286,Recently Updated,N/A,11/11/2022 20:23:28,N/A,N/A,11/11/2022 21:54:16
15,2,5,AP0285,Recently Updated,N/A,11/11/2022 20:23:38,N/A,N/A,11/11/2022 21:54:16
16,2,6,AL0003,Recently Updated,N/A,11/11/2022 21:26:54,N/A,N/A,11/11/2022 21:54:16
17,2,7,AP0284,Recently Updated,N/A,11/11/2022 20:23:50,N/A,N/A,11/11/2022 21:54:17
18,2,8,AP0283,Recently Updated,N/A,11/11/2022 20:24:03,N/A,N/A,11/11/2022 21:54:17
19,2,9,CA0062,Recently Updated,N/A,11/11/2022 20:24:19,N/A,N/A,11/11/2022 21:54:17
20,2,10,AP0282,Recently Updated,N/A,11/11/2022 20:24:29,N/A,N/A,11/11/2022 21:54:17
21,3,1,CA0063,Recently Updated,N/A,11/11/2022 20:02:08,N/A,N/A,11/11/2022 21:54:22
22,3,2,CO0028,Recently Updated,N/A,11/11/2022 20:23:06,N/A,N/A,11/11/2022 21:54:22
23,3,3,SA0005,Recently Updated,N/A,11/11/2022 20:23:16,N/A,N/A,11/11/2022 21:54:22
24,3,4,AP0286,Recently Updated,N/A,11/11/2022 20:23:28,N/A,N/A,11/11/2022 21:54:22
25,3,5,AP0285,Recently Updated,N/A,11/11/2022 20:23:38,N/A,N/A,11/11/2022 21:54:22
26,3,6,AL0003,Recently Updated,N/A,11/11/2022 21:26:54,N/A,N/A,11/11/2022 21:54:22
27,3,7,AP0284,Recently Updated,N/A,11/11/2022 20:23:50,N/A,N/A,11/11/2022 21:54:22
28,3,8,AP0283,Recently Updated,N/A,11/11/2022 20:24:03,N/A,N/A,11/11/2022 21:54:22
29,3,9,CA0062,Recently Updated,N/A,11/11/2022 20:24:19,N/A,N/A,11/11/2022 21:54:22
30,3,10,AP0282,Recently Updated,N/A,11/11/2022 20:24:29,N/A,N/A,11/11/2022 21:54:22
31,4,1,AP0281,Recently Updated,N/A,11/11/2022 20:25:56,N/A,N/A,11/11/2022 21:54:27
32,4,2,CA0061,Recently Updated,N/A,11/11/2022 21:27:14,N/A,N/A,11/11/2022 21:54:27
33,4,3,AP0280,Recently Updated,N/A,11/11/2022 20:24:48,N/A,N/A,11/11/2022 21:54:27
34,4,4,AP0279,Recently Updated,N/A,11/11/2022 21:42:14,N/A,N/A,11/11/2022 21:54:27
35,4,5,AP0278,Recently Updated,N/A,11/11/2022 20:25:02,N/A,N/A,11/11/2022 21:54:27
36,4,6,AP0277,Recently Updated,N/A,11/11/2022 20:25:14,N/A,N/A,11/11/2022 21:54:27
37,4,7,AP0275,Recently Updated,N/A,11/11/2022 21:48:13,N/A,N/A,11/11/2022 21:54:28
38,4,8,AP0274,Recently Updated,N/A,11/11/2022 20:25:23,N/A,N/A,11/11/2022 21:54:28
39,4,9,AP0273,Recently Updated,N/A,11/11/2022 20:25:32,N/A,N/A,11/11/2022 21:54:28
40,4,10,AP0272,Recently Updated,N/A,11/11/2022 20:25:40,N/A,N/A,11/11/2022 21:54:28
41,5,1,AL0006,Recently Updated,N/A,11/11/2022 20:27:38,N/A,N/A,11/11/2022 21:54:33
42,5,2,AP0271,Recently Updated,N/A,11/11/2022 20:26:05,N/A,N/A,11/11/2022 21:54:33
43,5,3,AP0270,Recently Updated,N/A,11/11/2022 20:26:16,N/A,N/A,11/11/2022 21:54:33
44,5,4,AP0269,Recently Updated,N/A,11/11/2022 20:26:25,N/A,N/A,11/11/2022 21:54:33
45,5,5,AP0268,Recently Updated,N/A,11/11/2022 21:27:22,N/A,N/A,11/11/2022 21:54:33
46,5,6,AP0267,Recently Updated,N/A,11/11/2022 20:26:35,N/A,N/A,11/11/2022 21:54:33
47,5,7,AP0266,Recently Updated,N/A,11/11/2022 20:26:45,N/A,N/A,11/11/2022 21:54:33
48,5,8,AL0004,Recently Updated,N/A,11/11/2022 20:26:56,N/A,N/A,11/11/2022 21:54:33
49,5,9,AP0265,Recently Updated,N/A,11/11/2022 20:27:11,N/A,N/A,11/11/2022 21:54:33
50,5,10,CA0060,Recently Updated,N/A,11/11/2022 20:27:23,N/A,N/A,11/11/2022 21:54:33
51,6,1,AP0264,Recently Updated,N/A,11/11/2022 20:29:34,N/A,N/A,11/11/2022 21:54:38
52,6,2,AL0002,Recently Updated,N/A,11/11/2022 20:27:48,N/A,N/A,11/11/2022 21:54:39
53,6,3,AP0263,Recently Updated,N/A,11/11/2022 20:28:00,N/A,N/A,11/11/2022 21:54:39
54,6,4,SO0002,Recently Updated,N/A,11/11/2022 20:28:17,N/A,N/A,11/11/2022 21:54:39
55,6,5,AP0262,Recently Updated,N/A,11/11/2022 20:28:32,N/A,N/A,11/11/2022 21:54:39
56,6,6,CO0027,Recently Updated,N/A,11/11/2022 21:27:40,N/A,N/A,11/11/2022 21:54:39
57,6,7,AP0261,Recently Updated,N/A,11/11/2022 20:28:41,N/A,N/A,11/11/2022 21:54:39
58,6,8,AP0260,Recently Updated,N/A,11/11/2022 20:28:53,N/A,N/A,11/11/2022 21:54:39
59,6,9,AP0259,Recently Updated,N/A,11/11/2022 20:29:04,N/A,N/A,11/11/2022 21:54:39
60,6,10,ap0257,Recently Updated,N/A,11/11/2022 20:29:15,N/A,N/A,11/11/2022 21:54:39
61,7,1,AP0258,Recently Updated,N/A,11/11/2022 21:28:25,N/A,N/A,11/11/2022 21:54:44
62,7,2,AP0229,Recently Updated,N/A,11/11/2022 20:29:42,N/A,N/A,11/11/2022 21:54:44
63,7,3,AP0256,Recently Updated,N/A,11/11/2022 20:29:53,N/A,N/A,11/11/2022 21:54:44
64,7,4,CO0025,Recently Updated,N/A,11/11/2022 20:30:03,N/A,N/A,11/11/2022 21:54:44
65,7,5,CO0026,Recently Updated,N/A,11/11/2022 20:30:15,N/A,N/A,11/11/2022 21:54:44
66,7,6,AP0255,Recently Updated,N/A,11/11/2022 21:42:38,N/A,N/A,11/11/2022 21:54:44
67,7,7,AP0254,Recently Updated,N/A,11/11/2022 21:27:48,N/A,N/A,11/11/2022 21:54:44
68,7,8,AP0253,Recently Updated,N/A,11/11/2022 21:27:56,N/A,N/A,11/11/2022 21:54:44
69,7,9,AP0252,Recently Updated,N/A,11/11/2022 21:28:05,N/A,N/A,11/11/2022 21:54:44
70,7,10,AP0251,Recently Updated,N/A,11/11/2022 21:28:14,N/A,N/A,11/11/2022 21:54:44
71,8,1,CA0053,Recently Updated,N/A,11/11/2022 20:30:31,N/A,N/A,11/11/2022 21:54:50
72,8,2,AP0250,Recently Updated,N/A,11/11/2022 21:28:33,N/A,N/A,11/11/2022 21:54:50
73,8,3,AP0249,Recently Updated,N/A,11/11/2022 21:28:42,N/A,N/A,11/11/2022 21:54:50
74,8,4,CA0059,Recently Updated,N/A,11/11/2022 21:28:49,N/A,N/A,11/11/2022 21:54:50
75,8,5,CA0058,Recently Updated,N/A,11/11/2022 21:28:57,N/A,N/A,11/11/2022 21:54:50
76,8,6,AL0001,Recently Updated,N/A,11/11/2022 21:29:03,N/A,N/A,11/11/2022 21:54:50
77,8,7,AP0248,Recently Updated,N/A,11/11/2022 21:29:12,N/A,N/A,11/11/2022 21:54:50
78,8,8,AP0247,Recently Updated,N/A,11/11/2022 21:29:22,N/A,N/A,11/11/2022 21:54:50
79,8,9,AP0246,Recently Updated,N/A,11/11/2022 21:29:32,N/A,N/A,11/11/2022 21:54:50
80,8,10,CA0057,Recently Updated,N/A,11/11/2022 21:29:40,N/A,N/A,11/11/2022 21:54:50
81,9,1,CO0024,Recently Updated,N/A,11/11/2022 21:30:01,N/A,N/A,11/11/2022 21:54:55
82,9,2,AP0245,Recently Updated,N/A,11/11/2022 21:42:58,N/A,N/A,11/11/2022 21:54:55
83,9,3,AP0244,Recently Updated,N/A,11/11/2022 21:48:49,N/A,N/A,11/11/2022 21:54:55
84,9,4,AP0243,Default Text Found,https://canalpro.grupozap.com/ZAP_OLX/0/listings/update/2575673423,10/11/2022 00:37:47,"Asset imóveis vende especial apartamento, sol da manhã, vista livre, silencioso, piso em porcelanato, de 3 dormitórios com armários embutidos(Madeirol) e split, sendo 1 suíte, banheiro social,  ampla sala em 2 ambientes com varanda, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, Oásis Resort, oferece a mais ampla infra, com piscina adulto, infantil, bar molhado, sauna, hidromassagem,  academia, bar e restaurante, brinquedoteca, espaço gourmet, salão de festas, sala de jogos, pista de cooper, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, em uma das melhores Praias da Região Oceânica de Niterói. A Asset Imóveis tem convênio com os maiores Bancos do País para aprovação e condução do seu crédito imobiliário, sem custo pelo serviço. Vale conferir!Asset imóveis vende especial apartamento, sol da manhã, vista livre, silencioso, piso em porcelanato, de 3 dormitórios com armários embutidos(Madeirol) e split, sendo 1 suíte, banheiro social,  ampla sala em 2 ambientes com varanda, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, Oásis Resort, oferece a mais ampla infra, com piscina adulto, infantil, bar molhado, sauna, hidromassagem,  academia, bar e restaurante, brinquedoteca, espaço gourmet, salão de festas, sala de jogos, pista de cooper, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, em uma das melhores Praias da Região Oceânica de Niterói.  Vale conferir!","Asset imóveis vende especial apartamento, sol da manhã, vista livre, silencioso, piso em porcelanato, de 3 dormitórios com armários embutidos(Madeirol) e split, sendo 1 suíte, banheiro social,  ampla sala em 2 ambientes com varanda, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, Oásis Resort, oferece a mais ampla infra, com piscina adulto, infantil, bar molhado, sauna, hidromassagem,  academia, bar e restaurante, brinquedoteca, espaço gourmet, salão de festas, sala de jogos, pista de cooper, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, em uma das melhores Praias da Região Oceânica de Niterói.  Vale conferir!Asset imóveis vende especial apartamento, sol da manhã, vista livre, silencioso, piso em porcelanato, de 3 dormitórios com armários embutidos(Madeirol) e split, sendo 1 suíte, banheiro social,  ampla sala em 2 ambientes com varanda, cozinha com móveis planejados, lavanderia, quarto de empregada e banheiro de serviço, além de 2 vagas de garagem na escritura. O Condomínio, Oásis Resort, oferece a mais ampla infra, com piscina adulto, infantil, bar molhado, sauna, hidromassagem,  academia, bar e restaurante, brinquedoteca, espaço gourmet, salão de festas, sala de jogos, pista de cooper, além da segurança da portaria 24h e circuito interno de TV. A localização é privilegiada, em uma das melhores Praias da Região Oceânica de Niterói.  Vale conferir!",11/11/2022 21:55:04
85,9,5,CA0054,Recently Updated,N/A,11/11/2022 21:30:32,N/A,N/A,11/11/2022 21:55:05
86,9,6,AP0231,Recently Updated,N/A,11/11/2022 21:30:40,N/A,N/A,11/11/2022 21:55:05
87,9,7,AP0230,Recently Updated,N/A,11/11/2022 21:30:48,N/A,N/A,11/11/2022 21:55:05
88,9,8,CA0052,Recently Updated,N/A,11/11/2022 21:30:57,N/A,N/A,11/11/2022 21:55:05
89,9,9,CA0051,Recently Updated,N/A,11/11/2022 21:31:05,N/A,N/A,11/11/2022 21:55:05
90,9,10,AP0228,Recently Updated,N/A,11/11/2022 21:31:15,N/A,N/A,11/11/2022 21:55:05
91,10,1,AP0235,Recently Updated,N/A,11/11/2022 21:31:29,N/A,N/A,11/11/2022 21:55:10
92,10,2,CA0055,Recently Updated,N/A,11/11/2022 21:30:08,N/A,N/A,11/11/2022 21:55:10
93,10,3,AP0233,Recently Updated,N/A,11/11/2022 21:30:17,N/A,N/A,11/11/2022 21:55:10
94,10,4,CA0056,Recently Updated,N/A,11/11/2022 21:30:24,N/A,N/A,11/11/2022 21:55:10
95,10,5,CA0054,Recently Updated,N/A,11/11/2022 21:30:32,N/A,N/A,11/11/2022 21:55:10
96,10,6,AP0231,Recently Updated,N/A,11/11/2022 21:30:40,N/A,N/A,11/11/2022 21:55:10
97,10,7,AP0230,Recently Updated,N/A,11/11/2022 21:30:48,N/A,N/A,11/11/2022 21:55:10
98,10,8,CA0052,Recently Updated,N/A,11/11/2022 21:30:57,N/A,N/A,11/11/2022 21:55:10
